-1.4852,0,0
-1.4842,-0.029694,-0.00029694
-1.4793,-0.059329,-0.0011872
-1.4693,-0.088815,-0.0026686
-1.4539,-0.11805,-0.0047372
-1.4333,-0.14692,-0.0073869
-1.4074,-0.17533,-0.010609
-1.3762,-0.20316,-0.014394
-1.3399,-0.23032,-0.018729
-1.2986,-0.25671,-0.023599
-1.2524,-0.28222,-0.028989
-1.2016,-0.30676,-0.034878
-1.1463,-0.33024,-0.041248
-1.0869,-0.35257,-0.048076
-1.0236,-0.37368,-0.055339
-0.9567,-0.39348,-0.063011
-0.88662,-0.41191,-0.071064
-0.81371,-0.42892,-0.079473
-0.73838,-0.44444,-0.088206
-0.66103,-0.45843,-0.097235
-0.58212,-0.47086,-0.10653
-0.50208,-0.4817,-0.11605
-0.42141,-0.49094,-0.12578
-0.34054,-0.49856,-0.13567
-0.26,-0.50456,-0.14571
-0.18023,-0.50897,-0.15584
-0.10175,-0.51179,-0.16605
-0.025026,-0.51305,-0.1763
0.049475,-0.51281,-0.18656
0.12128,-0.5111,-0.19679
0.18994,-0.50799,-0.20699
0.25502,-0.50354,-0.2171
0.31611,-0.49783,-0.22711
0.37283,-0.49094,-0.237
0.4248,-0.48296,-0.24674
0.47169,-0.474,-0.25631
0.5132,-0.46415,-0.26569
0.54905,-0.45353,-0.27487
0.57901,-0.44225,-0.28383
0.60288,-0.43043,-0.29255
0.6205,-0.41819,-0.30104
0.63176,-0.40567,-0.30928
0.63658,-0.39299,-0.31727
0.63493,-0.38027,-0.325
0.62683,-0.36765,-0.33248
0.61233,-0.35526,-0.33971
0.59152,-0.34322,-0.34669
0.56457,-0.33166,-0.35344
0.53165,-0.3207,-0.35996
0.49299,-0.31045,-0.36628
0.44889,-0.30104,-0.37239
0.39964,-0.29255,-0.37833
0.34558,-0.2851,-0.3841
0.28713,-0.27877,-0.38974
0.22469,-0.27365,-0.39527
0.15872,-0.26982,-0.4007
0.089714,-0.26733,-0.40607
0.018162,-0.26626,-0.41141
-0.055389,-0.26663,-0.41674
-0.1304,-0.26849,-0.42209
-0.20628,-0.27185,-0.42749
-0.28248,-0.27674,-0.43298
-0.35841,-0.28315,-0.43858
-0.43346,-0.29107,-0.44432
-0.50705,-0.30047,-0.45023
-0.57858,-0.31133,-0.45635
-0.6475,-0.32359,-0.4627
-0.71321,-0.3372,-0.46931
-0.77517,-0.35208,-0.4762
-0.83285,-0.36816,-0.4834
-0.88574,-0.38535,-0.49094
-0.93336,-0.40354,-0.49883
-0.97527,-0.42262,-0.50709
-1.011,-0.44249,-0.51574
-1.0403,-0.463,-0.5248
-1.0627,-0.48403,-0.53427
-1.0779,-0.50544,-0.54416
-1.0858,-0.52707,-0.55449
-1.086,-0.54879,-0.56524
-1.0785,-0.57044,-0.57644
-1.0632,-0.59185,-0.58806
-1.0399,-0.61288,-0.60011
-1.0088,-0.63337,-0.61257
-0.96986,-0.65316,-0.62543
-0.9232,-0.67209,-0.63869
-0.86899,-0.69001,-0.65231
-0.80747,-0.70677,-0.66628
-0.7389,-0.72224,-0.68057
-0.66361,-0.73626,-0.69515
-0.58197,-0.74872,-0.71
-0.49441,-0.75948,-0.72508
-0.40139,-0.76844,-0.74036
-0.30342,-0.77549,-0.7558
-0.20106,-0.78053,-0.77136
-0.094881,-0.78349,-0.787
0.014501,-0.7843,-0.80268
0.12643,-0.78289,-0.81835
0.24024,-0.77922,-0.83397
0.35525,-0.77327,-0.8495
0.47076,-0.76501,-0.86488
0.58603,-0.75444,-0.88007
0.70036,-0.74157,-0.89503
0.81303,-0.72644,-0.90971
0.9233,-0.70908,-0.92407
1.0305,-0.68954,-0.93806
1.1339,-0.6679,-0.95163
1.2328,-0.64423,-0.96475
1.3266,-0.61864,-0.97738
1.4146,-0.59122,-0.98948
1.4963,-0.56211,-1.001
1.5711,-0.53144,-1.0119
1.6385,-0.49934,-1.0223
1.698,-0.46598,-1.0319
